subscriber_id,account_id,subscriber_type,brand,status,activation_date,termination_date,created_ts,updated_ts
801f0e24-37e9-4c47-910f-97f9c256fcdc,cb755d5b-162b-4ec7-8827-6e923cbd3983,FIXED,YongNL,SUSPENDED,2022-04-05,,2022-04-05T04:21:45,2026-04-01T11:05:50.389928
1cd0f16c-d37a-4878-8f4a-656f94c158c8,1d67a690-6098-4ddc-a5e9-628d4ef5cc59,MOBILE,YongNL,ACTIVE,2023-08-14,,2023-08-14T04:10:46,2026-04-01T11:05:50.390003
837b3ed9-44bd-4be9-bdbd-8fcf93758558,e0e9e86b-ca31-4241-b464-8a18eac52edf,MOBILE,SimplyMobile,ACTIVE,2022-12-05,,2022-12-05T03:04:21,2026-04-01T11:05:50.390150
362354ba-7dae-4d91-82cf-8cace40e8189,a0a92150-234a-48bd-95b6-b761a5598347,MOBILE,SimplyMobile,BARRED,2024-05-04,,2024-05-04T16:26:34,2026-04-01T11:05:50.390298
e9e2f658-b20c-4827-a44f-ee7300d687b5,914805b8-7841-4f40-833a-1d9631550f39,MOBILE,YongNL,BARRED,2023-09-19,,2023-09-19T22:15:03,2026-04-01T11:05:50.390417
160f2223-36f7-402e-9c8d-392a7a72e93a,03f8ab6b-d03c-4ccb-ba3c-37a9c4f00c4d,MOBILE,DutchTelco,ACTIVE,2020-02-06,,2020-02-06T15:58:08,2026-04-01T11:05:50.390549
4b1a8b29-5c59-417b-b336-beb94eb4d539,54cd1074-1d35-4c20-bc24-f618fca8e362,MOBILE,YongNL,ACTIVE,2026-04-08,,2026-04-08T05:43:57,2026-04-01T11:05:50.390658
6a11f610-7c00-46ec-b250-3e69b9028158,b195b3c6-d8cd-4ca5-8f18-f3701b3c6424,MOBILE,DutchTelco,ACTIVE,2023-11-11,,2023-11-11T09:08:06,2026-04-01T11:05:50.390770
aba9b553-5de0-4266-852d-7f6d2be5abe1,1b1dbd5c-f776-4363-86e4-05f61da28f25,MOBILE,DutchTelco,ACTIVE,2025-07-26,,2025-07-26T06:44:59,2026-04-01T11:05:50.390957
37cf7d20-609d-47ac-8b22-5a02fa9449fb,fce5428e-88c2-45f7-a243-f17d3ebbc4c1,MOBILE,SimplyMobile,ACTIVE,2025-06-22,,2025-06-22T03:56:26,2026-04-01T11:05:50.391057
