charge_id,account_id,subscriber_id,charge_type,source_usage_id,amount,currency_code,charge_ts,created_ts
402de733-f7b0-42d9-9a2f-787ffeb2522f,d0d1919a-3341-4394-96af-50a5a86b332c,edf99557-8175-4e27-9941-bd5a8d6f72e8,ADJUSTMENT,,40.07,EUR,2026-07-06T22:47:52,2021-07-07T01:33:11
a449e0d3-d874-4214-a29c-e399483de84d,d0d1919a-3341-4394-96af-50a5a86b332c,d2b68d0f-45a7-488e-b328-6f3afe002dd8,USAGE,,80.1,EUR,2022-09-12T01:32:54,2026-10-21T17:56:04
5826f505-9331-4fda-9cd1-39dc898e8722,d0d1919a-3341-4394-96af-50a5a86b332c,58cd3388-572d-424c-9b24-518e4dda55ed,RECURRING,,34.57,EUR,2026-01-10T02:16:16,2023-09-22T17:08:52
1aa0323e-2a10-4a1e-a76d-7c69c1a9f2fc,d0d1919a-3341-4394-96af-50a5a86b332c,3cbfa7a4-a64f-4c3b-927e-9f4c4350fbfe,RECURRING,,43.34,EUR,2022-04-20T04:51:50,2022-06-22T22:40:05
fd6d1318-37c4-41e2-bc4c-16599a62904b,d0d1919a-3341-4394-96af-50a5a86b332c,26e0d1c9-28b0-45ca-baa7-2ead1e5c58ff,USAGE,,62.86,EUR,2020-10-19T13:46:40,2026-02-17T02:47:48
8782c544-9e0c-4a63-90d7-beba768726b9,d0d1919a-3341-4394-96af-50a5a86b332c,3aefd2f8-78e7-47c4-b191-ffa022f0c80a,ADJUSTMENT,,17.3,EUR,2023-02-05T10:01:02,2020-02-17T00:49:42
0dffb598-4621-4376-9c2f-df7d6d2ebe3a,d0d1919a-3341-4394-96af-50a5a86b332c,d01d0a89-3fb9-42b0-8e95-70986860a7e9,RECURRING,,86.43,EUR,2020-05-04T02:20:10,2026-07-27T02:05:44
ebf7540f-9839-401f-aca5-61ba65fb475e,d0d1919a-3341-4394-96af-50a5a86b332c,79f7da07-c57d-43d7-b3bb-9c617f81ff57,ADJUSTMENT,,95.36,EUR,2021-02-06T14:50:57,2026-01-16T20:23:03
94fd5e89-6762-4192-b9a7-3fcbbeedc81d,d0d1919a-3341-4394-96af-50a5a86b332c,7fdc4db1-a1a2-4ec0-8322-bd21d883de69,RECURRING,,72.2,EUR,2023-12-18T10:24:43,2021-04-16T16:41:18
7ef969a2-b97a-4a56-9494-28a26426ea9b,d0d1919a-3341-4394-96af-50a5a86b332c,148d2032-2224-4aaa-b9a1-4ffb45db3b2c,ONE_TIME,,26.82,EUR,2020-12-14T17:52:09,2026-09-25T21:36:34
