payment_id,account_id,payment_ts,amount,currency_code,method,status,created_ts
1993b680-0f10-4b08-899d-2318ec5d2a37,d0d1919a-3341-4394-96af-50a5a86b332c,2020-04-02T07:46:06,86.31,EUR,WALLET,SETTLED,2025-10-25T05:53:17
ab22fa54-f9ae-4cc0-af92-719ffc2938c5,d0d1919a-3341-4394-96af-50a5a86b332c,2023-09-20T23:08:29,129.82,EUR,CARD,SETTLED,2023-10-24T01:18:43
38147eb0-ea7b-4e2a-a07c-5b5cab883eb7,d0d1919a-3341-4394-96af-50a5a86b332c,2020-08-23T09:15:13,184.97,EUR,DD,REFUNDED,2023-12-25T06:53:33
401b20f1-f5c6-4339-970f-8941d8dca31d,d0d1919a-3341-4394-96af-50a5a86b332c,2022-11-21T18:20:56,147.6,EUR,IDEAL,SETTLED,2021-08-02T03:05:06
7c04cc7e-9c4c-4257-9f6c-23c89811e3a6,d0d1919a-3341-4394-96af-50a5a86b332c,2026-09-23T14:33:29,149.83,EUR,CARD,SETTLED,2026-10-20T06:15:37
84cc8b6d-2401-42d3-9127-beb21dc4158d,d0d1919a-3341-4394-96af-50a5a86b332c,2021-01-09T20:43:12,108.66,EUR,DD,SETTLED,2023-08-16T07:02:56
7f353523-43fb-464e-abb7-47afd5d2a03e,d0d1919a-3341-4394-96af-50a5a86b332c,2024-07-23T01:46:04,192.12,EUR,WALLET,SETTLED,2025-07-27T10:24:06
8cdaabd6-d422-4b27-a85f-e12582eb22d5,d0d1919a-3341-4394-96af-50a5a86b332c,2025-03-06T16:54:26,160.2,EUR,WALLET,SETTLED,2020-02-13T05:13:52
15e3a78d-63ea-4757-bbb1-6e9a9f026995,d0d1919a-3341-4394-96af-50a5a86b332c,2020-04-18T00:37:06,80.23,EUR,IDEAL,SETTLED,2021-06-07T19:33:59
9072ffdb-a0e7-42f6-bc64-ce30d4b49e06,a79c860b-129c-47e3-a871-30a766c1f5b6,2026-07-18T16:26:50,155.77,EUR,WALLET,SETTLED,2023-05-08T05:08:31
7e5ad971-9a4c-4905-b236-a1b9f0e5fdb1,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-10-15T16:21:47,180.77,EUR,BANK_TRANSFER,SETTLED,2023-10-22T23:37:27
bd30735e-e1e1-4ff4-aaf3-90864d26816b,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-01-29T10:50:45,171.48,EUR,BANK_TRANSFER,SETTLED,2021-06-11T09:39:58
eea13d35-7292-4b8d-9c89-06b165e9f1eb,a79c860b-129c-47e3-a871-30a766c1f5b6,2021-05-01T02:51:44,97.06,EUR,BANK_TRANSFER,AUTHORIZED,2020-01-26T01:02:09
4bbabf6e-d8f4-45a7-a249-8266ff7d7637,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-06-10T11:40:14,125.54,EUR,DD,AUTHORIZED,2022-08-26T04:41:56
e0f35751-b35b-4f3b-b753-65ee26f6a9ac,a79c860b-129c-47e3-a871-30a766c1f5b6,2021-04-19T10:55:20,32.46,EUR,CARD,SETTLED,2025-05-22T01:33:13
0ce49a67-3a28-4119-9cea-284092b92743,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-10-09T17:47:11,142.76,EUR,BANK_TRANSFER,SETTLED,2025-10-30T16:39:24
e5ad1c1c-b68a-4514-8e8c-e9ca961ec363,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-04-29T18:39:45,108.31,EUR,IDEAL,REFUNDED,2022-06-28T13:28:57
baa089cf-dc52-4f12-83a9-28eb421296ea,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-12-11T23:18:41,94.39,EUR,CARD,SETTLED,2025-10-11T23:45:10
f2acb394-eec6-4a60-8de6-b211f79b04b4,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-02-19T09:13:04,114.65,EUR,DD,SETTLED,2021-03-09T23:08:12
9e202bf4-7626-4e33-bb37-fb1dedcd7adf,a79c860b-129c-47e3-a871-30a766c1f5b6,2020-09-14T04:12:38,45.78,EUR,CARD,SETTLED,2026-12-31T02:03:24
bbca2a5e-b0f1-4545-93d5-06f64b9eba44,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2022-08-13T05:48:20,98.64,EUR,DD,SETTLED,2025-10-12T21:37:38
28c6b290-11de-48a4-8580-47a722d0e3d3,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2023-03-30T18:36:58,40.51,EUR,WALLET,SETTLED,2020-03-01T02:45:52
5f1e0e17-c776-4096-8f26-4f9dc5dc01c5,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2022-12-17T05:56:27,172.66,EUR,DD,AUTHORIZED,2025-03-28T01:32:29
ebb4b07d-9b34-4ac0-b69b-a4052c527c12,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2026-01-23T05:06:05,93.93,EUR,DD,SETTLED,2020-04-22T20:51:42
977e250d-8ef5-47f1-86d8-fd8f2d7efa20,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2022-11-28T03:54:59,182.35,EUR,WALLET,FAILED,2020-12-08T07:23:43
dc0fd1ee-1a41-4910-85e1-1aa5dbb3ca0f,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2026-11-24T18:32:38,110.8,EUR,WALLET,SETTLED,2021-08-23T03:05:28
c6841583-cced-4bcb-938d-1d31c529f92b,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2020-04-01T23:53:34,110.66,EUR,WALLET,REFUNDED,2025-09-12T00:52:52
6fd40229-0491-402e-b6d2-934ba274aec0,cb2e4d12-d622-47ce-bd17-5fb2e793da15,2020-10-16T17:59:25,180.95,EUR,BANK_TRANSFER,SETTLED,2021-10-20T03:28:56
30c03f86-2a93-415c-aa9a-773bd2c4cdbf,aba60480-e032-402a-af19-77a249c64808,2024-06-21T19:52:59,184.94,EUR,BANK_TRANSFER,SETTLED,2025-04-06T01:33:39
d770373e-c78f-46e3-a816-0a1592164949,aba60480-e032-402a-af19-77a249c64808,2020-03-02T11:49:35,156.84,EUR,IDEAL,SETTLED,2022-04-08T09:35:09
f21a5522-d3a2-404d-919b-31902580da17,aba60480-e032-402a-af19-77a249c64808,2024-03-27T17:46:36,121.63,EUR,IDEAL,SETTLED,2026-10-21T14:50:00
a8eb8758-7791-4ff6-b87e-a64aeb1767fc,aba60480-e032-402a-af19-77a249c64808,2025-12-02T07:34:27,120.45,EUR,WALLET,SETTLED,2026-05-06T03:30:33
