invoice_id,account_id,billing_period_start,billing_period_end,invoice_date,due_date,total_amount,currency_code,status,created_ts,updated_ts
e1770db3-0053-44cd-9554-c41457450d60,d0d1919a-3341-4394-96af-50a5a86b332c,2020-01-31,2020-03-01,2020-03-04,2020-03-18,35.34,EUR,PAID,2026-09-01T16:35:49,2026-04-01T11:05:50.409445
efacd3d8-eb43-4f73-bfe7-fe980919170c,d0d1919a-3341-4394-96af-50a5a86b332c,2023-10-24,2023-11-23,2023-11-26,2023-12-10,85.48,EUR,PAID,2023-05-13T13:01:01,2026-04-01T11:05:50.409501
17864739-3264-41a8-8c70-f138adc88b09,d0d1919a-3341-4394-96af-50a5a86b332c,2026-03-03,2026-04-02,2026-04-05,2026-04-19,34.34,EUR,PAID,2026-06-22T22:34:19,2026-04-01T11:05:50.409541
9c48fdf7-48cc-41ed-99c7-a710fc6df578,d0d1919a-3341-4394-96af-50a5a86b332c,2022-01-28,2022-02-27,2022-03-02,2022-03-16,146.13,EUR,ISSUED,2020-03-09T15:13:46,2026-04-01T11:05:50.409594
c789507f-f859-49b4-b04c-9b069067bce1,d0d1919a-3341-4394-96af-50a5a86b332c,2022-02-27,2022-03-29,2022-04-01,2022-04-15,44.52,EUR,OVERDUE,2024-08-12T18:18:17,2026-04-01T11:05:50.409627
69f58d30-4fd8-4662-92a9-b3c0c435c272,d0d1919a-3341-4394-96af-50a5a86b332c,2020-10-22,2020-11-21,2020-11-24,2020-12-08,193.74,EUR,PAID,2021-04-06T18:00:41,2026-04-01T11:05:50.409667
29f9f08e-8e48-4501-a1fd-29a4c573ce37,d0d1919a-3341-4394-96af-50a5a86b332c,2024-11-26,2024-12-26,2024-12-29,2025-01-12,97.99,EUR,PAID,2020-09-01T23:29:33,2026-04-01T11:05:50.409716
c7c92ab5-a956-4de2-b08f-fd70ca2608f2,d0d1919a-3341-4394-96af-50a5a86b332c,2023-02-02,2023-03-04,2023-03-07,2023-03-21,48.88,EUR,PAID,2021-06-30T00:49:15,2026-04-01T11:05:50.409750
2d00d2fe-6a74-441e-95da-37fd7f2013ca,d0d1919a-3341-4394-96af-50a5a86b332c,2025-12-10,2026-01-09,2026-01-12,2026-01-26,195.94,EUR,ISSUED,2020-03-21T10:49:44,2026-04-01T11:05:50.409797
5348825e-fe2c-455a-9306-f30be6dc9ece,d0d1919a-3341-4394-96af-50a5a86b332c,2023-10-08,2023-11-07,2023-11-10,2023-11-24,63.41,EUR,PAID,2022-07-21T13:35:01,2026-04-01T11:05:50.409836
a316fdb1-ba32-4b52-bc2f-dadd8bb849c5,d0d1919a-3341-4394-96af-50a5a86b332c,2020-10-24,2020-11-23,2020-11-26,2020-12-10,99.43,EUR,ISSUED,2022-05-28T06:23:06,2026-04-01T11:05:50.409862
937ac27c-841c-40a5-8b37-2d7c2cd2b8aa,d0d1919a-3341-4394-96af-50a5a86b332c,2020-01-27,2020-02-26,2020-02-29,2020-03-14,163.23,EUR,PAID,2021-02-13T02:32:37,2026-04-01T11:05:50.409901
4856091e-e262-44ad-a2e9-7ae1b5621f89,d0d1919a-3341-4394-96af-50a5a86b332c,2022-05-06,2022-06-05,2022-06-08,2022-06-22,102.95,EUR,PAID,2022-07-13T19:08:02,2026-04-01T11:05:50.409939
50a79191-bb7d-40ed-ae62-b0cf9007c82e,d0d1919a-3341-4394-96af-50a5a86b332c,2026-03-23,2026-04-22,2026-04-25,2026-05-09,187.77,EUR,PAID,2026-07-26T10:56:28,2026-04-01T11:05:50.409985
a5aa0f98-2951-47dd-9457-133424166448,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-09-29,2023-10-29,2023-11-01,2023-11-15,109.52,EUR,PAID,2026-09-07T03:46:58,2026-04-01T11:05:50.410361
8f42865b-6b91-4bf7-a83f-1eb589f69c64,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-06-14,2024-07-14,2024-07-17,2024-07-31,170.85,EUR,PAID,2024-07-26T06:10:52,2026-04-01T11:05:50.410401
ee5b4b73-6ee0-4d06-8362-23cde63333c2,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-07-26,2024-08-25,2024-08-28,2024-09-11,86.03,EUR,ISSUED,2023-10-14T07:31:59,2026-04-01T11:05:50.410433
db0d11ed-45c8-49a0-8463-183478520b84,a79c860b-129c-47e3-a871-30a766c1f5b6,2021-01-28,2021-02-27,2021-03-02,2021-03-16,96.77,EUR,PAID,2020-06-21T06:55:03,2026-04-01T11:05:50.410453
4ab21443-f521-443b-afff-49c70a21dfc6,a79c860b-129c-47e3-a871-30a766c1f5b6,2024-10-26,2024-11-25,2024-11-28,2024-12-12,98.52,EUR,ISSUED,2025-06-10T13:48:35,2026-04-01T11:05:50.410486
f45f17a7-450b-4457-ba02-369b20afef21,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-11-04,2023-12-04,2023-12-07,2023-12-21,175.31,EUR,OVERDUE,2025-12-05T04:26:02,2026-04-01T11:05:50.410518
c1b0858b-18f1-4433-bc68-821bc9ed5a79,a79c860b-129c-47e3-a871-30a766c1f5b6,2021-11-09,2021-12-09,2021-12-12,2021-12-26,147.11,EUR,PAID,2024-09-19T19:36:51,2026-04-01T11:05:50.410556
55417045-c225-44c7-9cd7-54fd80dd786c,a79c860b-129c-47e3-a871-30a766c1f5b6,2022-03-07,2022-04-06,2022-04-09,2022-04-23,39.5,EUR,PAID,2022-07-02T09:49:09,2026-04-01T11:05:50.410601
8a4b1f48-6170-4641-9b4e-68a0aa1ae778,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-08-27,2023-09-26,2023-09-29,2023-10-13,183.41,EUR,PAID,2025-10-31T04:42:57,2026-04-01T11:05:50.410637
9adaeefd-60aa-4866-bc5d-80d8faa08231,a79c860b-129c-47e3-a871-30a766c1f5b6,2026-05-08,2026-06-07,2026-06-10,2026-06-24,25.39,EUR,PAID,2021-08-26T12:37:48,2026-04-01T11:05:50.410663
4b1ee55c-3da0-49f9-b3ff-651456adf613,a79c860b-129c-47e3-a871-30a766c1f5b6,2023-07-08,2023-08-07,2023-08-10,2023-08-24,155.08,EUR,PAID,2022-02-25T08:25:34,2026-04-01T11:05:50.410694
82ba2035-0e85-4a5e-9525-de93181029f7,a79c860b-129c-47e3-a871-30a766c1f5b6,2022-03-02,2022-04-01,2022-04-04,2022-04-18,194.51,EUR,PAID,2020-07-15T02:24:33,2026-04-01T11:05:50.410740
